ID,Income,Age,Experience,Married/Single,House_Ownership,Car_Ownership,Profession,CITY,STATE,CURRENT_JOB_YRS,CURRENT_HOUSE_YRS,Risk_Flag
1,7393090,59,19,single,rented,no,Geologist,Malda,West Bengal,4,13,0
2,1215004,25,5,single,rented,no,Firefighter,Jalna,Maharashtra,5,10,0
3,8901342,50,12,single,rented,no,Lawyer,Thane,Maharashtra,9,14,1
4,1944421,49,9,married,rented,yes,Analyst,Latur,Maharashtra,3,12,0
5,13429,25,18,single,rented,yes,Comedian,Berhampore,West Bengal,13,11,0
6,3437621,78,14,single,rented,no,Economist,Ramgarh,Jharkhand,3,10,0
7,5101498,55,0,married,rented,no,Artist,Pallavaram,Tamil Nadu,0,14,0
8,6716946,70,15,single,rented,yes,Flight attendant,Yamunanagar,Haryana,14,13,0
9,8369802,43,7,single,rented,no,Secretary,Anand,Gujarat,6,13,0
10,9565457,65,5,single,rented,yes,Engineer,Nandyal,Andhra Pradesh,3,12,1
11,1960736,71,14,single,rented,no,Technician,Bihar Sharif,Bihar,5,10,0
12,1964155,51,13,single,rented,no,Physician,Shivpuri,Madhya Pradesh,7,10,0
13,1330107,61,13,single,rented,no,Politician,Bhilai,Chhattisgarh,11,12,0
14,668849,74,15,single,rented,no,Psychologist,Bhavnagar,Gujarat,13,11,0
15,7656053,55,20,single,rented,yes,Engineer,Tiruppur,Tamil Nadu,14,14,0
16,2575197,72,2,single,owned,no,Scientist,Bongaigaon,Assam,2,14,0
17,9173731,47,3,single,rented,no,Petroleum Engineer,Hapur,Uttar Pradesh,3,12,0
18,2307642,72,12,single,rented,no,Chartered Accountant,Bulandshahr,Uttar Pradesh,12,13,0
19,750679,73,6,single,owned,no,Web designer,Pimpri-Chinchwad,Maharashtra,5,13,1
20,6543823,50,5,single,rented,yes,Geologist,Kurnool[18],Andhra Pradesh,5,13,0
21,8435439,68,1,single,rented,no,Geologist,Kakinada,Andhra Pradesh,1,14,0
22,4436504,56,9,single,rented,yes,Financial Analyst,Tadepalligudem,Andhra Pradesh,9,13,0
23,1578395,45,3,single,owned,no,Software Developer,Bidhannagar,West Bengal,3,14,0
24,4353927,73,17,married,rented,no,Official,Hospet,Karnataka,4,12,0
25,1975497,53,16,single,rented,no,Statistician,Jamshedpur,Jharkhand,13,10,0
26,1917641,48,3,single,rented,yes,Drafter,Sri Ganganagar,Rajasthan,3,14,0
27,8126503,21,6,single,rented,no,Statistician,Udaipur,Rajasthan,6,12,1
28,5185337,50,2,married,rented,no,Psychologist,Sikar,Rajasthan,2,14,0
29,9073203,71,13,single,rented,no,Architect,Suryapet,Telangana,9,10,0
30,9899664,45,5,single,rented,no,Software Developer,Bidhannagar,West Bengal,5,10,0
31,7936046,35,11,single,rented,yes,Financial Analyst,Thane,Maharashtra,10,14,0
32,4939158,65,12,single,rented,no,Official,Kavali,Andhra Pradesh,7,14,0
33,6451557,40,7,single,rented,no,Microbiologist,Erode[17],Tamil Nadu,7,14,1
34,7066438,44,1,married,rented,no,Drafter,Chittoor[28],Andhra Pradesh,1,10,1
35,360873,56,3,single,rented,no,Graphic Designer,Gwalior,Madhya Pradesh,3,12,0
36,6176694,66,10,single,rented,no,Designer,Allahabad,Uttar Pradesh[5],7,14,0
37,6100940,44,9,single,rented,no,Army officer,Malda,West Bengal,8,13,0
38,2890690,24,19,single,rented,yes,Civil servant,Pudukkottai,Tamil Nadu,13,13,0
39,7545693,50,14,single,rented,no,Engineer,Srinagar,Jammu and Kashmir,4,14,0
40,6235492,68,6,single,norent_noown,no,Comedian,Jamalpur[36],Bihar,6,12,0
41,2882498,34,0,married,rented,no,Chemical engineer,Fatehpur,Uttar Pradesh,0,13,0
42,579762,48,20,single,rented,no,Consultant,Coimbatore,Tamil Nadu,12,11,0
43,2541188,44,1,married,rented,no,Financial Analyst,Berhampur,Odisha,1,10,0
44,4943616,70,12,single,norent_noown,no,Air traffic controller,Thanjavur,Tamil Nadu,12,12,0
45,5648251,48,2,single,rented,yes,Graphic Designer,Bahraich,Uttar Pradesh,2,13,1
46,9205302,77,13,single,rented,yes,Microbiologist,Deoghar,Jharkhand,11,13,1
47,1744080,41,14,single,rented,yes,Civil engineer,Nagaon,Assam,12,13,0
48,5976201,37,12,single,rented,no,Consultant,Anantapuram[24],Andhra Pradesh,4,11,1
49,825676,30,9,single,rented,yes,Psychologist,Gulbarga,Karnataka,9,13,0
50,8382400,76,18,single,rented,yes,Industrial Engineer,Visakhapatnam[4],Andhra Pradesh,4,13,0
